"TrainNumber";"connectingIDs"
42014;"42014-0-Bj#42014-1-Bj#42014-0-Hc#42014-0-ab#42014-211-HV#42014-212-HV#42014-10-An"
42017;"42017-310-Hn#42017-215-vk#42017-603-hv#42017-215-ab#42017-215-Ar#42017-215-Bj"
42018;"42018-600-Bj#42018-600-Ar#42018-600-ab#42018-0-su#42018-0-vk#42018-0-Hn"
42021;"42021-320-Hn#42021-29-vk#42021-29-he#42021-209-ab#42021-209-Ar#42021-209-Bj"
42027;"42027-300-Hn#42027-600-vk#42027-600-ko#42027-600-ab#42027-600-Ar#42027-600-Bj"
42028;"42028-600-Bj#42028-600-Ar#42028-600-ab#42028-601-ab#42028-0-su#42028-0-vk#42028-0-Hn"
42066;"42066-84-Bj#42066-84-Hc#42066-84-ab#42066-84-ko#42066-84-vk#42066-0-An#42066-0-Mz"
42067;"42067-0-Mz#42067-0-vk#42067-0-ko#42067-0-ab#42067-0-Hc#42067-0-Bj"
42128;"42128-0-ja#42128-849-sü#42128-849-Br#42128-849-te#42128-849-ab#42128-801-su#42128-801-He#42128-0-An"
42129;"42129-300-Hn#42129-600-He#42129-600-hv#42129-600-js#42129-0-rz#42129-0-Ot#42129-612-sü"
42164;"42164-71-ja#42164-71-sü#42164-71-Ot#42164-71-rz#42164-710-js#42164-710-si#42164-100-Hü"
42176;"42176-276-ja#42176-276-sü#42176-276-Ot#42176-276-rz#42176-276-js#42176-276-si#42176-855-si#42176-80-Hü#42176-80-ak"
42177;"42177-101-Hü#42177-71-si#42177-71-js#42177-71-rz#42177-71-ot#42177-71-sü#42177-71-ja"
42179;"42179-90-ak#42179-90-Hü#42179-20-Ky#42179-309-hw#42179-309-za#42179-299-Fc#42179-299-Ot#42179-299-sü#42179-299-ja"
42212;"42212-110-ak#42212-110-si#42212-50-Ha#42212-50-An#42212-694-vk"
42236;"42236-365-vk#42236-366-vk#42236-600-An#42236-600-Mz#42236-600-Bw#42236-600-Ha#42236-110-si#42236-110-ak"
42259;"42259-216-mb#42259-96-vk#42259-10-Hn#42259-11-Hn"
42264;"42264-58-vk"
42267;"42267-196-vk"
42578;"42578-0-Le#42578-0-rd#42578-71-hv#42578-71-js"
42581;"42581-71-js#42581-71-He#42581-0-rd#42581-1-rd#42581-0-Br#42581-0-sü"
42610;"42610-600-Bj#42610-600-Ar#42610-600-ab#42610-600-su#42610-600-He#42610-300-An#42610-300-Hn#42610-311-Hn#42610-300-Bw"
42611;"42611-320-Bw#42611-320-Mz#42611-603-vk#42611-309-ko#42611-309-ab#42611-309-Ar#42611-309-Bj"
42647;"42647-90-si#42647-90-ak#42647-90-Hü#42647-30-Sö#42647-309-hw#42647-309-za#42647-309-He#42647-309-ab#42647-309-Bj#42647-319-Bj"
42656;"42656-29-si"
42674;"42674-333-Bj#42674-3-Bj#42674-3-Hc#42674-3-ab#42674-291-hv#42674-291-vk#42674-21-Mz"
42675;"42675-30-Mz#42675-291-He"
42681;"42681-39-vk#42681-20-An#42681-20-Bw#42681-20-Ky#42681-90-uz"
42711;"42711-70-Be#42711-70-si#42711-50-Ha#42711-50-Kh#42711-11-Bw#42711-11-An#42711-14-vk"
42758;"42758-39-ko#42758-40-ko#42758-40-vk#42758-20-An#42758-20-Mz#42758-20-Bw"
42759;"42759-10-Bw#42759-10-Mz#42759-10-An#42759-39-He#42759-39-ab#42759-39-ko"
42903;"42903-80-we#42903-380-Hü#42903-855-si#42903-855-js#42903-238-rz#42903-238-Fc#42903-238-Ec"
42931;"42931-0-ak#42931-0-Hü#42931-0-Si#42931-0-js#42931-0-rz#42931-0-Fc#42931-0-Ec"
42947;"42947-80-we#42947-80-Hü#42947-600-si#42947-600-js#42947-238-rz#42947-238-Fc#42947-238-Ec"
42948;"42948-228-Ec#42948-229-Ec#42948-228-fc#42948-228-rz#42948-229-rz#42948-855-js#42948-855-si#42948-80-Hü#42948-81-Hü#42948-80-ak"
42949;"42949-20-ak#42949-21-Hü#42949-20-Hü#42949-42-si#42949-42-js#42949-52-rz#42949-42-rz#42949-42-fc#42949-42-Ec"
42951;"42951-10-Mz#42951-10-An#42951-72-He#42951-72-js#42951-72-rz#42951-72-Fc#42951-72-Ec"
43002;"43002-100-Bj#43002-100-ab#43002-52-hv#43002-10-An#43002-10-Mz"
43016;"43016-0-Bj#43016-1-Bj#43016-0-Hc#43016-0-ab#43016-0-su#43016-0-za#43016-0-hw#43016-0-Hü#43016-0-ak#43016-1-ak#43016-0-si"
43017;"43017-0-hw#43017-0-za#43017-0-hv#43017-0-ab#43017-1-ab#43017-0-Ar#43017-0-Bj"
43024;"43024-601-Bj#43024-601-Hc#43024-601-ab#43024-601-ko#43024-710-vk#43024-10-Hn"
43025;"43025-0-An#43025-84-He#43025-0-ab#43025-0-Ar#43025-0-Bj"
43064;"43064-0-Bj#43064-0-Ar#43064-0-ab#43064-0-su#43064-0-He#43064-0-An#43064-0-Bw"
43075;"43075-0-Bw#43075-0-Mz#43075-0-An#43075-84-He#43075-0-ab#43075-0-Ar#43075-0-Bj"
43100;"43100-188-hw#43100-610-Ky"
43101;"43101-208-js#43101-208-rz#43101-208-Ot#43101-208-sü#43101-208-ja"
43108;"43108-710-ja#43108-710-sü#43108-710-he#43108-810-rz#43108-71-js#43108-71-si#43108-71-hw#43108-171-Hw#43108-100-Hü"
